Study_Hours_Per_Week,Attendance_Percentage,Previous_Exam_Score,Sleep_Hours_Per_Night,Practice_Tests_Taken,Tutoring_Sessions,Final_Exam_Score
10.9,84.4,88.7,7.4,9,6,78.4
42.1,71.9,40.7,8.6,8,6,81.1
24.7,62.7,80.8,6.1,10,8,84.9
15.3,92.0,96.3,6.0,6,1,78.1
23.4,51.9,65.4,6.5,1,5,64.7
44.2,95.1,53.6,7.9,8,8,95.1
24.7,73.1,80.9,7.9,3,1,75.3
18.2,81.9,87.4,6.1,7,1,68.3
30.3,83.0,71.7,5.2,13,4,88.3
14.6,94.8,96.1,7.7,6,9,89.5
8.0,81.8,43.0,5.1,12,9,61.7
10.2,80.7,69.3,7.4,14,9,75.3
10.1,53.3,81.7,8.0,15,7,75.7
11.1,75.9,90.0,8.0,6,10,78.1
10.6,57.5,50.4,8.3,7,8,63.9
30.6,86.9,86.4,8.9,0,1,75.3
12.3,75.6,72.1,7.0,4,4,61.2
18.8,84.0,63.0,8.2,1,6,65.3
40.9,52.1,47.6,7.6,1,5,73.3
24.0,54.2,90.2,5.4,14,5,85.5
31.7,85.8,49.1,4.6,0,6,67.4
11.9,53.6,58.0,5.9,4,2,50.7
12.7,53.6,56.8,6.7,1,2,53.1
6.6,50.6,90.5,7.6,3,9,64.9
11.8,97.8,79.0,8.7,2,8,79.6
16.1,86.9,86.2,5.5,2,7,75.3
12.1,67.7,54.5,5.1,1,4,50.9
8.5,64.8,76.2,9.3,12,5,81.5
9.8,67.5,73.2,5.0,5,10,64.8
23.4,88.7,88.3,6.9,1,9,82.1
13.3,83.1,92.6,7.4,13,0,74.2
19.6,59.3,40.7,7.2,13,9,74.9
25.1,58.7,79.1,4.9,7,0,74.5
32.6,54.9,43.0,4.8,7,3,70.1
6.6,83.0,71.8,5.0,12,1,69.1
37.0,88.2,56.7,7.4,13,10,95.9
30.1,63.3,57.8,7.2,11,6,78.3
8.3,51.0,60.5,5.7,4,1,41.6
39.9,54.1,76.0,7.7,9,9,100.0
41.8,98.4,59.4,8.6,6,1,86.2
7.4,64.8,82.5,4.7,3,4,57.6
16.1,88.5,63.5,7.0,0,3,65.3
37.2,81.2,44.0,7.9,10,7,80.7
34.9,69.1,85.5,5.8,1,3,79.2
12.4,60.3,56.6,6.0,9,5,61.1
13.4,56.1,65.1,7.6,9,4,66.8
19.8,80.8,79.8,9.0,3,10,81.2
24.4,88.7,59.3,8.5,0,1,58.6
29.7,82.2,43.3,7.4,14,10,87.0
19.8,76.5,61.7,8.2,12,7,83.3
23.5,52.1,94.8,6.3,7,1,74.0
34.9,98.4,77.2,7.7,8,8,99.2
6.5,89.9,78.9,6.8,3,8,65.6
15.1,64.6,76.7,5.4,9,2,67.1
33.5,99.0,51.5,8.0,2,3,71.6
40.8,80.1,64.3,7.3,1,7,85.7
25.5,79.1,83.6,6.3,4,8,82.9
26.3,87.4,45.9,9.1,13,2,78.6
9.3,90.6,56.1,4.6,2,4,59.2
22.9,82.8,56.0,6.1,9,10,82.4
26.3,56.4,65.1,4.8,6,7,73.0
14.7,66.9,96.9,8.3,10,2,74.3
15.8,96.4,43.9,8.0,5,6,65.4
20.1,61.2,70.1,6.2,15,10,83.4
5.8,68.6,50.4,7.9,0,7,49.6
17.9,71.6,96.3,6.5,11,9,88.2
13.5,72.0,46.6,8.3,7,10,64.1
18.1,80.6,63.4,6.8,1,2,53.3
9.8,97.2,82.8,6.6,4,1,63.9
40.6,62.0,80.9,9.2,8,9,97.7
28.7,56.1,64.5,5.8,7,6,69.3
32.2,59.9,60.1,5.1,1,8,71.2
36.6,94.3,63.1,7.4,8,0,87.9
24.9,82.3,55.3,9.3,15,2,83.4
8.5,64.3,51.9,6.4,4,4,57.4
26.5,90.8,68.0,4.8,9,2,78.2
28.5,93.1,55.6,6.2,13,0,81.4
34.8,92.3,56.7,7.0,5,6,79.0
22.3,95.9,78.1,5.3,12,6,85.1
10.1,62.6,96.2,7.8,2,9,63.8
16.4,87.8,75.0,9.5,12,7,89.3
19.5,73.0,44.5,6.8,2,4,62.1
30.8,92.1,44.4,6.3,9,9,80.2
27.8,86.4,95.2,6.5,7,4,87.3
19.2,88.8,57.2,5.1,10,4,68.9
44.5,82.8,45.3,8.9,9,0,81.9
29.2,58.9,74.7,6.6,9,9,89.2
14.5,77.3,76.2,6.4,14,4,71.9
9.1,99.2,77.6,7.8,11,5,79.6
11.1,96.9,55.5,6.7,1,0,52.1
14.8,52.2,40.9,7.7,10,10,65.7
11.4,58.2,96.0,4.8,11,6,78.6
12.5,56.6,54.6,8.6,11,0,57.5
16.4,86.3,79.2,9.2,1,10,77.6
11.9,90.9,81.0,7.7,12,1,74.8
40.9,60.7,75.4,9.3,4,1,83.7
8.2,75.3,58.1,5.3,5,4,57.5
26.0,92.0,55.7,6.9,11,9,86.2
21.4,86.6,74.7,7.5,1,6,68.9
44.3,77.1,90.2,7.4,14,0,98.0
9.5,79.5,94.9,6.5,4,9,80.2
20.9,75.4,46.1,6.2,6,0,57.5
43.8,64.9,49.0,5.1,9,0,77.1
39.6,78.3,94.8,6.5,9,5,100.0
37.7,84.4,82.7,5.3,7,1,89.1
15.3,93.7,91.2,8.2,11,0,80.4
11.8,81.8,51.8,5.5,15,5,68.4
31.7,88.1,74.1,4.8,6,1,68.5
42.2,58.0,80.7,7.3,7,5,88.8
27.3,73.1,79.4,7.5,13,9,92.4
27.9,50.5,63.7,8.9,11,7,81.6
16.2,62.3,40.9,7.4,8,1,53.6
35.8,86.3,73.8,6.2,15,10,100.0
12.5,99.6,54.7,8.5,14,8,74.2
17.9,55.0,66.1,7.2,4,7,62.6
22.0,70.1,95.5,4.9,12,9,93.3
25.3,90.0,63.1,7.3,4,0,74.0
14.7,60.2,88.7,9.0,10,6,79.0
9.6,77.8,50.9,6.5,9,9,68.0
29.4,86.7,79.0,6.0,3,5,83.5
16.5,80.8,96.7,5.2,12,5,82.6
28.2,59.4,45.9,5.3,8,5,68.5
11.2,67.8,40.5,6.7,4,5,49.2
24.2,89.2,65.1,7.5,13,9,92.6
26.3,77.7,45.4,4.9,1,6,63.2
7.1,50.3,83.4,9.2,14,2,70.6
18.5,88.0,93.0,8.3,9,5,83.4
10.4,51.8,65.2,7.4,7,2,59.2
7.5,87.3,55.0,8.6,14,6,79.3
44.6,60.1,65.2,4.9,6,6,80.9
17.9,97.9,82.0,6.9,7,7,81.9
37.4,68.4,40.5,7.7,11,1,74.4
15.2,66.3,74.2,8.6,15,8,86.4
32.3,57.4,75.6,8.4,2,4,72.7
35.4,65.3,77.0,5.9,14,8,85.4
28.8,93.8,54.0,9.2,14,9,97.0
23.9,99.8,81.4,5.1,15,4,93.6
21.5,68.4,45.3,8.9,3,6,56.7
19.0,72.4,51.6,9.4,4,10,68.6
42.2,86.1,90.9,5.4,5,8,100.0
38.2,94.3,82.8,8.1,0,3,90.0
43.6,79.7,40.8,4.7,3,1,72.4
10.0,69.6,54.4,6.5,10,8,65.9
34.2,70.6,52.4,7.1,11,1,75.8
42.5,84.8,55.7,7.4,9,2,84.2
12.2,50.2,54.4,9.2,12,9,73.8
7.7,81.0,43.6,7.9,4,1,45.8
34.6,67.8,66.6,6.9,6,2,73.0
28.0,89.7,82.5,8.5,12,5,96.5
38.7,54.6,75.2,9.3,4,2,78.6
10.6,79.4,79.0,4.6,15,9,87.7
36.8,74.0,44.7,9.4,12,7,83.7
13.1,82.1,95.2,4.9,12,10,88.8
11.5,53.2,88.6,8.6,0,5,59.9
11.6,79.0,86.7,5.9,10,6,77.8
37.6,78.1,87.7,5.2,6,0,78.2
31.6,78.0,94.1,6.7,7,2,84.6
25.9,80.2,71.6,7.7,12,2,76.2
19.4,83.8,51.6,6.4,6,1,63.8
40.1,90.2,75.8,4.8,10,6,97.8
20.7,63.5,83.1,7.5,15,8,83.1
37.7,91.3,82.8,9.0,13,3,100.0
22.6,74.9,70.2,6.4,12,4,87.6
20.1,53.9,44.0,5.6,14,2,62.9
23.5,52.9,61.5,6.7,3,10,68.0
17.1,66.7,93.4,4.7,7,8,89.7
34.9,89.2,73.9,8.6,15,3,90.8
25.1,85.4,71.2,8.6,14,4,87.1
14.3,89.4,55.6,7.4,4,0,58.3
41.0,75.9,61.4,6.3,9,10,98.0
20.4,72.0,91.9,8.5,8,1,79.0
26.7,57.4,78.7,7.3,11,8,84.3
41.3,66.4,85.7,8.6,11,1,89.1
30.0,71.7,66.4,7.7,9,4,78.6
9.7,54.4,76.6,8.4,4,7,61.2
42.6,61.0,54.4,7.5,15,2,86.3
30.1,79.9,80.9,6.6,15,5,91.7
18.4,86.8,64.8,9.3,0,3,59.0
10.6,99.9,65.7,7.2,11,10,85.6
36.8,96.7,77.7,7.5,8,6,93.2
29.8,82.1,94.3,5.6,11,9,94.1
26.3,71.1,43.7,7.6,4,2,60.4
40.8,81.8,87.8,7.4,5,5,93.8
36.5,89.3,57.0,5.4,3,9,76.6
11.1,55.9,65.7,4.8,5,8,62.8
17.5,70.5,41.3,7.5,11,10,68.2
14.9,92.0,57.5,8.3,7,9,81.0
34.8,69.2,69.2,7.1,2,0,72.1
6.3,78.6,43.3,5.6,4,2,45.4
27.8,79.4,68.5,7.8,1,1,65.3
35.5,59.2,93.8,4.9,13,7,96.5
40.1,68.1,46.1,6.7,1,6,74.2
18.7,66.7,84.3,5.3,12,1,74.6
37.9,51.3,63.8,5.4,6,5,75.8
9.4,51.2,78.0,5.5,9,2,61.2
38.9,91.6,55.1,6.4,12,7,90.1
10.1,63.7,49.3,4.8,15,9,67.9
20.9,75.9,49.3,6.5,9,2,57.5
36.9,64.9,44.1,7.1,13,9,89.3
11.0,97.0,50.8,6.9,10,8,72.8
14.2,63.0,78.5,6.4,9,0,62.3
33.9,71.5,91.1,8.7,5,4,94.2
33.8,93.6,87.2,5.2,3,2,83.3
30.6,92.1,79.7,7.0,4,5,80.6
32.8,59.3,46.4,4.8,0,9,69.6
26.7,90.1,56.8,4.9,6,1,69.8
15.1,72.9,58.0,7.4,7,8,70.9
18.8,74.1,54.5,7.3,8,5,66.7
12.3,56.7,69.9,8.9,7,6,68.6
41.3,54.0,71.1,7.3,4,4,79.1
28.3,86.4,60.7,9.3,15,8,94.6
21.0,74.8,60.5,4.7,2,0,50.1
23.5,71.8,88.1,5.0,9,4,79.2
42.9,86.5,85.8,4.7,10,10,100.0
11.1,88.3,57.9,5.4,8,9,67.8
28.4,57.9,93.0,7.2,14,10,96.1
25.2,80.5,95.3,7.7,5,5,83.7
29.5,56.8,59.0,4.7,14,6,75.4
5.7,87.6,60.6,9.2,4,3,50.7
39.9,82.8,69.3,8.7,12,0,88.1
42.3,97.8,94.6,6.0,2,10,100.0
27.6,53.4,90.8,4.9,5,7,80.1
32.9,52.9,45.9,5.3,2,9,67.3
41.9,64.1,62.8,5.1,9,3,82.2
33.3,63.1,72.1,5.1,11,2,83.5
11.1,62.3,69.2,7.1,5,6,62.8
28.1,95.3,51.2,5.7,3,1,63.8
29.3,62.5,89.8,6.3,14,7,93.0
22.0,63.6,79.3,9.4,1,5,73.0
34.5,88.0,88.6,7.9,15,6,100.0
42.4,72.5,89.8,9.2,7,4,93.7
42.0,88.8,83.4,5.2,3,8,94.6
23.0,53.3,65.5,6.4,8,4,70.0
9.5,74.4,75.4,7.3,6,10,69.9
44.4,51.7,49.3,4.9,11,4,80.0
38.6,53.1,79.1,4.5,1,2,67.5
10.0,95.3,50.4,7.9,3,10,60.1
41.8,57.0,80.2,7.7,4,0,80.6
39.8,76.6,53.3,6.6,2,1,69.3
25.8,70.6,46.8,6.9,8,7,72.7
28.7,67.4,49.6,6.6,12,0,69.3
21.0,95.0,40.1,4.6,4,6,60.2
7.2,51.1,81.7,6.2,1,4,55.0
18.4,83.2,82.5,5.4,10,2,72.0
37.1,98.2,69.9,5.0,2,10,94.1
5.2,78.0,49.4,9.3,13,6,61.3
18.3,96.8,44.8,7.5,14,8,79.0
20.9,52.6,41.1,8.1,8,1,52.5
26.5,70.9,49.6,6.1,6,7,72.7
41.8,63.0,91.7,6.5,1,8,89.5
18.9,86.5,54.0,5.7,8,10,74.0
18.9,99.1,60.5,5.0,13,2,78.1
34.5,62.8,46.1,5.4,3,1,61.9
23.1,82.7,52.9,8.5,12,6,80.8
14.0,59.9,70.1,7.9,8,4,63.2
23.1,78.3,75.2,7.2,14,4,79.6
10.6,73.2,54.2,6.9,12,9,71.8
12.1,98.6,43.3,9.1,1,4,55.8
24.9,80.4,62.7,4.9,14,3,80.9
21.8,67.5,53.6,5.9,11,4,69.3
41.6,55.7,52.7,6.2,9,3,78.2
19.5,57.6,95.7,8.4,15,5,82.7
28.2,61.3,75.7,9.5,11,3,88.7
30.3,62.5,72.3,5.7,3,1,67.6
5.5,92.5,64.1,8.9,4,8,69.1
31.5,78.1,64.9,8.7,1,1,66.8
12.1,76.2,71.4,5.6,9,8,74.6
43.4,55.7,80.4,6.5,0,9,82.0
10.9,93.0,80.7,6.5,6,5,74.4
21.6,86.1,50.0,9.4,15,8,83.0
8.4,53.4,69.0,5.4,9,8,65.4
44.9,85.4,63.9,8.5,0,2,82.7
25.1,77.2,90.5,6.2,15,0,81.8
28.8,54.1,76.6,8.2,10,0,73.0
7.7,72.9,70.9,6.6,10,2,65.3
35.0,74.2,46.7,7.4,7,4,81.8
13.4,58.3,75.1,8.7,2,2,58.6
40.9,97.3,46.8,8.5,13,8,98.0
13.2,92.5,59.6,8.8,9,8,75.6
12.6,83.5,48.3,4.8,5,2,61.2
6.5,73.1,80.1,8.0,6,2,56.7
23.9,70.6,52.0,5.2,9,4,68.6
27.6,82.5,62.7,6.6,0,1,58.7
7.6,77.3,91.9,7.2,13,5,70.7
36.0,53.1,51.9,6.5,5,6,73.5
23.1,75.6,69.5,7.1,6,8,78.8
26.0,90.3,64.3,9.5,5,5,77.4
22.6,73.0,41.1,5.2,3,2,54.5
21.0,52.6,86.0,7.9,0,4,77.7
27.4,89.3,44.0,6.5,10,3,71.6
11.2,60.1,67.5,5.2,8,4,63.4
12.3,62.9,72.5,5.3,3,7,60.9
39.5,58.2,76.4,9.2,6,7,90.1
42.8,66.5,79.9,8.9,6,5,90.6
19.9,87.8,54.7,9.0,1,0,57.5
15.8,76.0,40.6,9.5,0,7,63.5
30.8,60.2,82.0,5.5,7,7,87.6
21.3,93.9,71.1,6.3,7,1,73.1
6.0,94.0,88.5,7.8,6,3,62.7
11.2,93.5,87.6,6.9,13,1,77.1
33.6,61.9,88.9,6.6,14,3,100.0
31.4,72.6,68.1,6.3,14,9,91.7
6.1,99.2,59.4,7.5,14,6,78.0
13.9,88.6,85.9,7.4,14,8,94.3
14.2,51.4,66.2,5.3,7,7,65.2
31.9,53.3,50.6,6.9,15,8,80.2
5.8,73.2,89.6,7.3,2,7,58.7
9.2,95.5,91.2,7.4,10,1,78.1
37.0,76.9,67.0,5.6,1,6,75.3
12.1,74.9,44.4,8.2,6,1,54.1
31.1,55.3,62.5,4.6,7,10,74.7
14.5,82.8,86.6,6.3,0,1,62.4
9.0,91.1,92.3,8.4,11,3,79.7
14.7,69.0,51.8,7.3,9,0,58.9
33.9,88.8,43.9,5.8,15,4,79.3
39.2,98.2,90.9,8.0,8,5,100.0
38.2,60.2,62.6,7.3,14,8,90.2
20.9,76.2,71.4,8.5,12,9,80.7
31.7,64.4,96.1,8.2,14,7,99.4
13.2,89.6,43.9,7.6,10,1,61.0
16.7,78.9,77.6,6.9,3,0,64.0
40.9,81.7,44.3,5.2,15,1,87.2
5.5,89.9,61.8,5.8,15,6,71.6
8.4,69.8,86.6,6.6,13,3,73.2
13.3,95.8,65.1,7.5,11,9,77.2
6.1,76.7,97.8,7.1,13,4,81.9
12.3,57.9,72.4,5.9,3,6,62.0
28.3,84.8,58.6,4.5,2,2,64.2
21.9,89.7,52.8,7.0,5,9,67.9
40.7,65.8,60.3,5.9,0,1,73.8
37.7,92.9,61.6,8.2,5,6,82.1
18.7,95.3,44.0,4.6,1,4,55.5
15.4,63.8,61.4,7.4,8,0,61.0
20.2,99.2,66.9,9.2,1,0,61.7
28.6,57.0,81.9,5.4,6,8,76.2
15.7,60.1,78.1,6.9,11,4,65.7
30.0,59.2,81.1,5.0,0,0,67.7
21.4,94.7,40.5,7.6,11,6,72.2
27.1,82.7,52.6,7.3,6,8,87.0
22.4,57.6,78.4,6.5,4,10,73.8
16.8,72.0,68.1,7.1,7,0,60.1
42.9,80.8,40.3,9.0,3,9,80.5
35.5,54.2,86.7,5.5,14,3,90.6
10.6,94.1,84.8,4.6,11,2,72.7
39.7,90.2,71.8,8.8,14,4,100.0
24.5,75.3,43.9,7.4,9,6,67.8
40.8,98.4,84.5,9.0,6,7,95.9
37.0,70.9,73.9,7.5,5,1,72.5
22.0,99.2,85.4,8.6,4,6,76.4
5.9,83.4,83.6,6.6,3,0,56.8
15.7,81.7,86.6,8.2,14,6,86.3
26.7,58.3,70.0,9.1,6,7,75.6
30.3,94.1,48.1,7.4,11,1,80.5
15.3,71.4,78.9,5.4,15,8,88.1
10.6,58.1,76.0,5.8,4,0,53.5
38.4,50.6,83.1,5.5,4,5,75.1
44.4,78.0,49.9,5.7,14,0,82.1
26.0,76.4,51.3,6.0,0,2,56.7
11.9,86.0,91.6,7.3,1,10,75.2
15.9,94.5,83.5,7.4,4,5,73.6
5.7,54.0,92.7,6.6,12,2,66.0
41.6,86.6,84.0,7.6,2,7,91.9
9.7,59.4,74.6,4.9,13,4,66.0
28.1,92.9,77.9,4.9,12,1,84.7
16.0,91.0,91.6,5.4,1,3,72.0
27.2,77.0,73.6,7.1,13,8,87.4
31.1,85.5,76.7,5.6,13,3,92.8
38.2,65.7,49.1,5.9,3,9,73.4
13.3,73.6,67.5,6.5,3,9,62.2
5.4,91.1,81.6,8.6,3,7,71.2
10.5,73.0,55.7,4.6,3,4,50.8
41.0,67.9,51.7,7.7,2,10,82.9
40.0,74.7,58.2,7.8,12,10,87.3
28.9,91.4,54.0,8.5,11,9,92.9
29.0,66.8,52.5,9.2,6,0,68.3
31.6,58.7,64.6,4.6,8,6,71.5
12.0,85.6,92.7,5.3,11,2,71.7
41.6,91.3,69.4,8.9,4,9,100.0
21.8,55.0,50.9,6.8,3,7,59.3
20.3,62.0,44.5,7.3,10,2,58.7
25.8,57.1,80.4,7.8,1,0,57.0
6.9,67.4,62.2,7.9,1,4,51.5
11.7,72.5,87.7,9.2,4,1,65.6
34.5,87.4,78.3,9.5,6,10,98.7
8.3,82.6,86.2,8.1,9,3,67.9
29.1,81.0,55.8,5.9,15,0,72.0
14.8,67.6,80.2,8.9,9,8,80.9
20.6,92.1,55.3,4.7,8,5,74.8
16.5,73.6,94.5,5.7,12,7,80.7
19.2,99.0,76.9,9.0,6,10,90.7
33.8,81.7,58.8,5.8,4,3,73.7
16.9,56.3,55.6,5.6,9,8,71.2
27.7,83.8,51.1,5.2,9,1,69.1
24.0,66.3,80.3,8.8,9,8,76.7
31.5,84.3,52.7,7.0,5,4,73.1
42.5,53.5,74.5,7.9,10,5,94.1
34.3,58.7,55.3,5.7,11,2,71.2
13.6,92.8,78.4,8.3,15,3,81.2
6.2,61.4,87.3,8.3,2,5,61.9
15.5,91.9,85.1,6.1,4,6,65.9
28.8,64.0,84.1,6.6,7,0,81.2
7.1,82.1,50.9,5.5,0,6,48.3
24.9,84.7,45.1,9.4,11,0,71.5
28.9,75.6,80.5,7.7,0,4,74.6
18.4,65.3,61.4,9.2,6,5,72.3
35.8,60.6,65.1,6.0,13,1,81.8
9.3,51.7,41.8,8.4,4,9,53.5
8.0,65.2,55.1,8.3,13,8,66.1
34.1,82.7,42.0,8.0,4,9,80.4
24.8,96.9,91.0,9.3,0,5,76.0
32.5,93.6,54.1,6.5,8,6,84.5
22.4,88.3,72.3,5.2,0,9,70.7
14.9,89.4,42.3,7.9,4,7,67.3
37.8,83.2,78.7,8.1,9,10,100.0
37.0,63.0,58.7,7.4,8,9,87.7
32.8,95.4,92.1,5.5,13,0,93.3
15.9,83.5,91.5,7.0,14,7,83.8
28.6,78.0,58.9,6.1,3,3,65.3
19.4,55.5,92.3,6.6,12,9,89.5
8.7,72.4,97.8,7.7,7,7,78.3
41.7,73.0,87.9,8.2,5,5,97.2
10.5,93.2,89.0,5.7,10,10,87.1
43.0,77.3,54.4,6.5,14,8,92.2
22.8,69.0,73.4,5.8,2,10,72.5
12.4,98.8,43.9,5.5,3,3,55.8
26.7,55.5,45.5,8.4,1,1,46.7
39.9,71.1,97.9,9.0,0,1,90.8
34.3,52.1,58.9,6.4,12,4,80.1
37.3,87.0,83.4,8.3,13,9,100.0
31.4,95.9,86.8,9.0,7,8,91.3
32.7,64.0,89.8,8.7,0,2,81.0
39.0,92.9,97.9,5.4,13,7,100.0
15.0,64.6,54.0,9.3,12,3,62.2
24.6,95.5,42.3,6.4,10,5,76.4
13.8,87.7,63.8,6.2,0,9,66.2
44.5,90.2,47.5,4.8,3,5,74.0
42.8,50.9,41.3,6.9,9,2,74.3
6.6,98.1,60.9,5.0,11,4,69.8
33.2,86.3,85.5,5.7,9,2,85.4
42.0,65.2,72.8,6.1,14,10,100.0
12.2,91.5,58.1,8.5,5,10,66.6
27.7,64.1,78.0,8.9,8,0,70.2
41.6,93.6,53.5,6.0,0,6,79.6
6.4,55.6,40.8,8.8,6,3,47.5
32.9,85.2,84.3,8.8,9,6,91.8
16.9,77.0,76.2,8.3,10,2,77.0
42.0,54.8,84.2,5.2,4,10,93.2
43.8,62.1,42.3,8.0,11,4,84.6
42.8,50.6,88.6,9.2,14,4,98.6
24.0,73.4,75.9,7.9,15,1,84.3
39.5,65.1,72.7,6.2,7,10,90.2
38.8,79.9,76.2,7.0,13,9,100.0
17.8,64.9,90.1,7.7,6,1,68.2
38.2,65.0,74.0,7.1,3,3,85.9
6.5,87.2,73.7,5.1,3,3,59.2
28.9,52.4,97.5,6.1,5,3,74.3
14.2,95.1,83.9,8.5,5,5,81.9
9.8,92.6,65.7,8.8,8,1,66.0
8.1,83.4,81.0,5.2,11,5,76.4
32.9,79.7,62.6,9.3,4,6,84.8
18.6,94.6,53.3,6.1,7,10,77.4
34.0,59.3,74.6,7.8,4,9,82.0
7.6,53.9,93.8,8.3,1,2,62.7
17.6,62.0,93.9,8.6,14,10,92.9
26.6,89.7,59.8,9.2,5,7,81.9
36.6,51.7,70.6,6.1,8,1,68.1
17.8,79.1,52.3,8.8,12,10,81.4
30.0,99.8,97.7,5.2,2,7,88.4
40.4,92.8,96.9,8.0,15,10,100.0
29.6,76.1,77.7,8.2,0,4,77.1
14.3,53.2,86.7,7.9,0,1,59.5
6.0,91.6,81.5,5.8,12,6,78.4
39.8,79.9,74.4,8.9,2,1,77.0
5.9,55.7,43.1,5.3,9,5,56.7
40.0,54.7,66.4,4.8,4,9,89.1
26.2,95.5,79.1,8.1,2,2,77.8
42.6,83.5,79.3,6.9,8,8,100.0
37.0,91.5,61.6,8.7,7,2,81.0
44.9,93.9,94.6,6.4,2,10,100.0
19.0,78.6,49.7,5.3,8,2,62.2
35.7,75.9,69.0,8.7,14,4,93.4
21.1,71.5,80.1,7.2,12,6,82.5
24.2,65.8,80.4,5.4,5,7,79.0
30.1,71.7,77.6,8.1,12,10,96.3
39.9,88.7,56.0,7.1,6,6,81.9
44.4,80.1,49.1,7.5,3,8,85.8
35.7,94.6,76.9,6.8,3,4,87.8
21.7,72.2,74.8,8.6,11,9,87.1
21.9,80.4,50.4,8.6,12,10,86.2
34.5,81.6,80.9,8.0,1,2,74.6
14.6,79.6,66.4,5.0,4,5,65.9
9.4,85.1,78.7,8.7,7,4,66.9
19.2,61.9,88.6,7.9,6,3,69.8
16.5,75.6,49.8,8.0,15,1,66.1
16.9,55.2,41.1,6.3,6,6,53.4
14.3,69.2,85.2,8.9,5,4,69.6
6.7,74.4,75.4,8.1,2,3,57.8
5.7,82.6,80.6,5.1,4,7,69.2
44.5,97.5,88.6,6.5,12,8,100.0
22.1,80.0,86.6,8.9,0,8,73.8
20.4,87.2,95.7,4.7,6,2,82.2
32.2,75.3,71.1,9.3,8,2,78.4
13.7,81.7,68.3,7.9,0,4,61.1
43.0,53.5,63.3,7.7,12,4,89.1
36.5,62.7,48.9,5.9,1,9,73.4
8.6,68.1,73.2,5.7,2,1,57.1
21.7,73.6,56.1,9.2,2,0,60.8
40.2,52.3,93.4,6.0,7,7,89.9
42.8,57.0,73.8,8.4,6,2,90.7
23.7,63.8,74.4,6.5,5,0,66.8
29.5,98.6,60.6,5.2,14,0,80.6
11.7,66.6,43.0,4.6,9,10,66.5
44.6,74.1,41.8,7.2,9,1,78.5
14.3,59.8,64.6,9.4,10,5,71.0
42.7,80.5,44.9,6.3,3,5,85.3
31.0,64.0,75.2,6.3,8,2,76.3
29.3,60.3,91.1,6.2,0,3,72.2
25.5,75.8,91.2,7.1,10,1,83.3
14.2,50.3,78.2,6.7,14,1,73.2
12.1,50.4,52.3,8.9,1,6,47.6
13.8,61.0,90.1,7.0,14,0,67.5
12.5,51.8,91.4,7.0,13,6,76.7
36.2,55.4,51.4,5.2,3,0,56.2
19.0,66.9,82.8,9.4,2,5,70.4
7.3,90.1,56.6,5.7,0,2,51.9
43.8,78.6,86.6,4.9,4,7,91.0
40.4,75.6,97.8,7.8,6,5,92.0
42.1,64.7,41.7,7.5,1,10,77.3
44.8,96.6,92.0,6.6,4,1,96.9
12.0,69.9,76.1,6.6,5,7,63.0
20.8,54.4,96.5,8.4,10,4,85.0
35.3,80.9,67.0,5.5,6,7,87.3
32.8,55.7,89.1,8.6,0,7,84.6
11.2,67.3,43.6,7.7,6,5,60.1
37.6,75.4,59.4,6.6,3,1,79.8
14.0,93.7,43.9,6.8,7,7,64.9
14.0,74.7,96.6,5.8,12,10,89.8
26.5,85.1,87.4,8.3,3,5,81.1
28.7,99.6,89.4,7.1,5,5,89.0
28.2,56.6,94.4,6.1,8,7,92.2
8.7,63.7,44.9,7.5,4,0,40.2
40.1,69.7,62.4,9.5,13,1,84.0
15.6,71.1,44.1,6.7,11,8,73.3
10.2,70.6,52.2,9.1,3,10,66.7
40.5,95.4,53.3,6.2,7,7,86.6
43.2,85.7,67.2,4.8,12,6,98.7
39.5,80.4,55.6,5.5,8,6,85.4
37.4,65.5,45.9,6.6,3,4,74.4
31.2,91.2,49.7,5.6,2,1,65.7
27.0,97.8,48.5,4.5,7,10,83.3
8.5,91.1,96.4,9.1,13,5,95.2
21.3,50.1,84.0,8.7,4,9,79.5
19.9,81.8,96.1,8.2,1,2,74.4
15.4,52.6,65.5,5.3,9,3,64.8
33.9,62.9,56.1,5.1,8,9,79.2
24.8,53.0,86.3,4.8,2,10,85.6
8.2,80.2,58.9,8.1,11,1,62.9
13.8,84.3,57.4,9.1,1,1,55.3
32.3,55.7,53.5,6.7,0,7,64.0
8.0,69.2,47.5,5.1,13,7,67.4
39.0,72.8,54.9,7.1,7,9,89.2
24.8,68.5,60.6,6.2,10,5,73.0
24.2,56.1,79.1,6.4,2,4,70.4
28.7,70.9,43.6,7.6,6,7,66.0
38.0,87.6,52.2,8.1,0,3,73.4
18.9,53.6,86.9,5.1,0,10,73.0
32.1,54.0,48.5,4.7,14,3,79.3
27.6,67.7,59.9,9.5,15,4,80.4
15.7,97.1,90.2,5.7,11,0,74.2
40.1,83.4,49.0,4.8,8,0,71.4
36.9,83.9,44.8,5.4,14,1,74.6
31.3,68.1,68.1,4.7,11,7,89.0
39.0,79.7,57.5,6.5,7,6,89.5
39.7,50.5,72.7,8.5,11,9,95.1
33.3,81.8,86.6,6.2,12,8,100.0
38.5,95.7,48.0,6.7,2,4,76.1
32.9,80.6,73.7,7.9,5,1,77.7
32.2,93.7,69.3,7.0,10,6,88.8
29.7,86.2,48.4,8.8,2,7,72.2
